REMOVE,BBS_NAME,CODES,CN,EN,SN
,台灣叢樹鶯,"TBWA,LOAL",台灣叢樹鶯,Taiwan Bush Warbler,Locustella alishanensis
,赤褐蝗鶯,"RBWA,LOMA",赤褐蝗鶯,Russet Bush Warbler,Locustella mandelli
,蝗鶯屬(XX蝗鶯),,蝗鶯屬,Locustella sp.,Locustella sp.
,台灣鷦眉,"TACU,PNFO",台灣鷦眉,Taiwan Cupwing,Pnoepyga formosana
,鱗胸鷦鷯,"TACU,PNFO",台灣鷦眉,Taiwan Cupwing,Pnoepyga formosana
,棕沙燕,"GTMA,APMA,RICH",棕沙燕,Gray-throated Martin,Riparia chinensis
,灰沙燕,"BANS,SAMA,BASW,CSMA,RIRI",灰沙燕,Bank Swallow,Riparia riparia
X,棕沙燕/灰沙燕,"GTMA,BANS,CSMA,SAMA,BASW,APMA,RIRI,RICH",棕沙燕/灰沙燕,Gray-throated Martin/Bank Swallow,Riparia chinensis/riparia
,沙燕屬,,沙燕屬,Riparia sp.,Riparia sp.
,家燕,"BARS,BASW,HIRU",家燕,Barn Swallow,Hirundo rustica
,洋燕,"PASW,HITA",洋燕,Pacific Swallow,Hirundo tahitica
,家/洋燕,"PASW,BASW,BARS,HIRU,HITA",家/洋燕,Barn/Pacific Swallow,Hirundo rustica/tahitica
,金腰燕,"RRAS,RRSW,CEDA",金腰燕,Red-rumped Swallow,Cecropis daurica
,赤腰燕,"STSW,CEST",赤腰燕,Striated Swallow,Cecropis striolata
,金腰/赤腰燕,"RRAS,RRSW,STSW,CEST,CEDA",金腰/赤腰燕,Red-rumped/Striated Swallow,Cecropis daurica/striolata
,白腹毛腳燕,"COHM,CHMA,DEUR",白腹毛腳燕,Common House-Martin,Delichon urbicum
,東方毛腳燕,"ASHM,AHMA,DEDA",東方毛腳燕,Asian House-Martin,Delichon dasypus
X,白腹/東方毛腳燕(XX毛腳燕),"ASHM,AHMA,COHM,CHMA,DEUR,DEDA",白腹/東方毛腳燕,Common/Asian House-Martin,Delichon urbicum/dasypus
,燕科(XX燕),UNSW,燕科,swallow sp.,Hirundinidae sp.
,白環鸚嘴鵯,"COFI,SPSE",白環鸚嘴鵯,Collared Finchbill,Spizixos semitorques
,烏頭翁,"STBU,PYTA",烏頭翁,Styan's Bulbul,Pycnonotus taivanus
,紅耳鵯,"RWBU,PYJO",紅耳鵯,Red-whiskered Bulbul,Pycnonotus jocosus
,白頭翁,"LVBU,PYSI",白頭翁,Light-vented Bulbul,Pycnonotus sinensis
,雜頭翁,"LVBU,STBU,PYSI,PYTA",雜頭翁,Styan's x Light-vented Bulbul (hybrid),Pycnonotus taivanus x sinensis
,烏頭/白頭翁,"STBU,LVBU,PYSI,PYTA",烏頭/白頭翁,Styan's/Light-vented Bulbul,Pycnonotus taivanus/sinensis
,白喉紅臀鵯,"SHBU,PYAU",白喉紅臀鵯,Sooty-headed Bulbul,Pycnonotus aurigaster
,鵯屬,,鵯屬,Pycnonotus sp.,Pycnonotus sp.
,紅嘴黑鵯,"HBBU,BLBU,HYLE",紅嘴黑鵯,Black Bulbul,Hypsipetes leucocephalus
X,紅嘴黑鵯(白頭),"HBBU,BLBU,HYLE",紅嘴黑鵯(白頭),Black Bulbul (leucocephalus Group),Hypsipetes leucocephalus [leucocephalus Group]
,棕耳鵯,"BEBU,HYAM",棕耳鵯,Brown-eared Bulbul,Hypsipetes amaurotis
,栗背短腳鵯,"CHBU,HECA",栗背短腳鵯,Chestnut Bulbul,Hemixos castanonotus
,林柳鶯,"WOWA,PHSI",林柳鶯,Wood Warbler,Phylloscopus sibilatrix
,黃眉柳鶯,"YBWA,PHIN",黃眉柳鶯,Yellow-browed Warbler,Phylloscopus inornatus
,淡眉柳鶯,"HUWA,HLWA,PHHU",淡眉柳鶯,Hume's Warbler,Phylloscopus humei
X,黃眉/淡眉柳鶯,"HUWA,YBWA,HLWA,PHIN,PHHU",黃眉/淡眉柳鶯,Yellow-browed/Hume's Warbler,Phylloscopus inornatus/humei
,雲南柳鶯,"CLWA,PHYU",雲南柳鶯,Chinese Leaf Warbler,Phylloscopus yunnanensis
,黃腰柳鶯,"PLEW,PAWA,PLWA,PHPR",黃腰柳鶯,Pallas's Leaf Warbler,Phylloscopus proregulus
,巨嘴柳鶯,"RAWA,PHSC",巨嘴柳鶯,Radde's Warbler,Phylloscopus schwarzi
,棕眉柳鶯,"YSWA,PHAR",棕眉柳鶯,Yellow-streaked Warbler,Phylloscopus armandii
,黃腹柳鶯,"TLWA,PHAF",黃腹柳鶯,Tickell's Leaf Warbler,Phylloscopus affinis
,褐色柳鶯,"DUWA,PHFU",褐色柳鶯,Dusky Warbler,Phylloscopus fuscatus
X,巨嘴/褐色柳鶯,"RAWA,DUWA,PHSC,PHFU",巨嘴/褐色柳鶯,Radde's/Dusky Warbler,Phylloscopus schwarzi/fuscatus
,棕腹柳鶯,"BTWA,PHSU",棕腹柳鶯,Buff-throated Warbler,Phylloscopus subaffinis
,歐亞柳鶯,"WILW,WIWA,PHTR",歐亞柳鶯,Willow Warbler,Phylloscopus trochilus
,東方嘰咋柳鶯,"MOCH,PHSI",東方嘰咋柳鶯,Mountain Chiffchaff,Phylloscopus sindianus
,嘰喳柳鶯,"CCHI,COCH,PHCO",嘰喳柳鶯,Common Chiffchaff,Phylloscopus collybita
X,歐亞/嘰喳柳鶯,"WIWA,WILW,COCH,CCHI,PHCO,PHTR",歐亞/嘰喳柳鶯,Willow Warbler/Common Chiffchaff,Phylloscopus trochilus/collybita
,冠羽柳鶯,"ECWA,PHCO",冠羽柳鶯,Eastern Crowned Warbler,Phylloscopus coronatus
,飯島柳鶯,"ILWA,PHIJ",飯島柳鶯,Ijima's Leaf Warbler,Phylloscopus ijimae
,白眶鶲鶯,"WSWA,PHIN",白眶鶲鶯,White-spectacled Warbler,Phylloscopus intermedius
,比氏鶲鶯,"BIWA,PHVA",比氏鶲鶯,Bianchi's Warbler,Phylloscopus valentini
,淡尾鶲鶯,"ALWA,PHSO",淡尾鶲鶯,Alström's Warbler,Phylloscopus soror
X,金眶鶲鶯複合群,,金眶鶲鶯複合群,Phylloscopus sp. (Golden-spectacled Warbler complex),Phylloscopus sp. (burkii complex)
,暗綠柳鶯,"GRWA,PHTR",暗綠柳鶯,Greenish Warbler,Phylloscopus trochiloides
,雙斑綠柳鶯,"TBWA,PHPL",雙斑綠柳鶯,Two-barred Warbler,Phylloscopus plumbeitarsus
X,暗綠/雙斑綠柳鶯,"GRWA,TBWA,PHPL,PHTR",暗綠/雙斑綠柳鶯,Greenish/Two-barred Warbler,Phylloscopus trochiloides/plumbeitarsus
,淡腳柳鶯,"PLLW,PHTE",淡腳柳鶯,Pale-legged Leaf Warbler,Phylloscopus tenellipes
,庫頁島柳鶯,"SLWA,PHBO",庫頁島柳鶯,Sakhalin Leaf Warbler,Phylloscopus borealoides
X,淡腳/庫頁島柳鶯,"SLWA,PLLW,PHTE,PHBO",淡腳/庫頁島柳鶯,Pale-legged/Sakhalin Leaf Warbler,Phylloscopus tenellipes/borealoides
,日本柳鶯,"JLWA,PHXA",日本柳鶯,Japanese Leaf Warbler,Phylloscopus xanthodryas
,極北柳鶯,"ARWA,PHBO",極北柳鶯,Arctic Warbler,Phylloscopus borealis
X,日本/極北柳鶯,"ARWA,JLWA,PHBO,PHXA",日本/極北柳鶯,Japanese Leaf/Arctic Warbler,Phylloscopus xanthodryas/borealis
,勘察加柳鶯,"KLWA,PHEX",勘察加柳鶯,Kamchatka Leaf Warbler,Phylloscopus examinandus
,極北/勘察加柳鶯,"AKLW,KLWA,ARWA,PHBO,PHEX",極北/勘察加柳鶯,Arctic/Kamchatka Leaf Warbler,Phylloscopus borealis/examinandus
,日本/極北/勘察加柳鶯,,日本/極北/勘察加柳鶯,Japanese Leaf/Arctic/Kamchatka Leaf Warbler,Phylloscopus xanthodryas/borealis/examinandus
,栗頭鶲鶯,"CCWA,PHCA",栗頭鶲鶯,Chestnut-crowned Warbler,Phylloscopus castaniceps
,黑眉柳鶯,"SBWA,PHRI",黑眉柳鶯,Sulphur-breasted Warbler,Phylloscopus ricketti
,克氏冠紋柳鶯,"CLWA,PHCL",克氏冠紋柳鶯,Claudia's Leaf Warbler,Phylloscopus claudiae
,哈氏冠紋柳鶯,"HLWA,PHGO",哈氏冠紋柳鶯,Hartert's Leaf Warbler,Phylloscopus goodsoni
X,克氏/哈氏/布氏冠紋柳鶯,,克氏/哈氏/布氏冠紋柳鶯,Blyth's/Claudia's/Hartert's Leaf Warbler,Phylloscopus reguloides/claudiae/goodsoni
,柳鶯屬(XX柳鶯),,柳鶯屬,Phylloscopus sp.,Phylloscopus sp.
,短尾鶯,"ASST,URSQ",短尾鶯,Asian Stubtail,Urosphena squameiceps
,棕面鶯,"RFWA,ABAL",棕面鶯,Rufous-faced Warbler,Abroscopus albogularis
,日本樹鶯,"JABW,JBWA,HODI",日本樹鶯,Japanese Bush Warbler,Horornis diphone
,遠東樹鶯,"MBWA,HOCA",遠東樹鶯,Manchurian Bush Warbler,Horornis canturians
,日本/遠東樹鶯(短翅樹鶯),"JBWA,JABW,MBWA,HOCA,HODI",日本/遠東樹鶯,Japanese/Manchurian Bush Warbler,Horornis diphone/canturians
,小鶯,"BFBW,HOFO",小鶯,Brownish-flanked Bush Warbler,Horornis fortipes
,深山鶯,"YBBW,HOAC",深山鶯,Yellowish-bellied Bush Warbler,Horornis acanthizoides
X,小鶯/深山鶯,"BFBW,YBBW,HOAC,HOFO",小鶯/深山鶯,Brownish-flanked/Yellowish-bellied Bush Warbler,Horornis fortipes/acanthizoides
,樹鶯屬(XX樹鶯),,樹鶯屬,bush warbler sp.,Horornis sp.
,紅頭山雀,"BTTI,BTBU,AECO",紅頭山雀,Black-throated Tit,Aegithalos concinnus
,漠地林鶯,"ADWA,SYNA",漠地林鶯,Asian Desert Warbler,Sylvia nana
,白喉林鶯,"LEWH,SYCU",白喉林鶯,Lesser Whitethroat,Sylvia curruca
,林鶯屬(XX林鶯),,林鶯屬,Sylvia sp.,Sylvia sp.
,褐頭花翼,"TAFU,FUFO",褐頭花翼,Taiwan Fulvetta,Fulvetta formosana
,粉紅鸚嘴,"VTPA,SIWE",粉紅鸚嘴,Vinous-throated Parrotbill,Sinosuthora webbiana
,黃羽鸚嘴,"GOPA,SUVE",黃羽鸚嘴,Golden Parrotbill,Suthora verreauxi
,栗耳鳳鶥,"INYU,YUTO",栗耳鳳鶥,Indochinese Yuhina,Yuhina torqueola
,冠羽畫眉,"TAYU,YUBR",冠羽畫眉,Taiwan Yuhina,Yuhina brunneiceps
,紅脇繡眼,"CFWE,ZOER",紅脇繡眼,Chestnut-flanked White-eye,Zosterops erythropleurus
,日菲繡眼,"WAWE,WWEY,ZOJA",日菲繡眼,Warbling White-eye,Zosterops japonicus
,斯氏繡眼,"SWWE,SWEY,ZOSI",斯氏繡眼,Swinhoe's White-eye,Zosterops simplex
,綠繡眼,"SWWE,SWEY,ZOSI",斯氏繡眼,Swinhoe's White-eye,Zosterops simplex
,低地繡眼,"LWEY,LOWE,ZOME",低地繡眼,Lowland White-eye,Zosterops meyeni
,繡眼屬(XX繡眼),,繡眼屬,Zosterops sp.,Zosterops sp.
,繡眼科(XX繡眼),,繡眼科,white-eye sp.,Zosteropidae sp.
,山紅頭,"RCBA,CYRU",山紅頭,Rufous-capped Babbler,Cyanoderma ruficeps
,小彎嘴,"TSBA,TASB,POMU",小彎嘴,Taiwan Scimitar-Babbler,Pomatorhinus musicus
,大彎嘴,"BNSB,MEER",大彎嘴,Black-necklaced Scimitar-Babbler,Megapomatorhinus erythrocnemis
,頭烏線,"DUFU,SCBR",頭烏線,Dusky Fulvetta,Schoeniparus brunneus
,繡眼畫眉,"MOFU,GCFU,ALMO",繡眼畫眉,Morrison's Fulvetta,Alcippe morrisonia
,黑臉噪鶥,"MALA,GAPE",黑臉噪鶥,Masked Laughingthrush,Garrulax perspicillatus
,大陸畫眉,"HWAM,CHHW,GACA",大陸畫眉,Chinese Hwamei,Garrulax canorus
,台灣畫眉,"TAHW,GATA",台灣畫眉,Taiwan Hwamei,Garrulax taewanus
,台灣/大陸畫眉,"HWAM,TAHW,CHHW,GACA,GATA",台灣/大陸畫眉,Chinese/Taiwan Hwamei,Garrulax canorus/taewanus
,噪眉屬(XX噪眉),,噪眉屬,Garrulax sp.,Garrulax sp.
,台灣白喉噪眉,"RCLA,IARU",台灣白喉噪眉,Rufous-crowned Laughingthrush,Ianthocincla ruficeps
,黑喉噪眉,"BTLA,IACH",黑喉噪眉,Black-throated Laughingthrush,Ianthocincla chinensis
,棕噪眉,"RULA,IAPO",棕噪眉,Rusty Laughingthrush,Ianthocincla poecilorhyncha
,竹鳥,"RULA,IAPO",棕噪眉,Rusty Laughingthrush,Ianthocincla poecilorhyncha
,白頰噪眉,"WBLA,IASA",白頰噪眉,White-browed Laughingthrush,Ianthocincla sannio
,藍噪眉屬,,藍噪眉屬,Ianthocincla sp.,Ianthocincla sp.
,台灣噪眉,"WWLA,TRMO",台灣噪眉,White-whiskered Laughingthrush,Trochalopteron morrisonianum
,金翼白眉,"WWLA,TRMO",台灣噪眉,White-whiskered Laughingthrush,Trochalopteron morrisonianum
,噪眉類,,噪眉類,laughingthrush sp.,Garrulax/Ianthocincla/Trochalopteron/Montecincla sp.
,白耳畫眉,"WESI,HEAU",白耳畫眉,White-eared Sibia,Heterophasia auricularis
,紅嘴相思鳥,"RBLE,LELU",紅嘴相思鳥,Red-billed Leiothrix,Leiothrix lutea
,黃胸藪眉,"STLI,LIST",黃胸藪眉,Steere's Liocichla,Liocichla steerii
,藪鳥,"STLI,LIST",黃胸藪眉,Steere's Liocichla,Liocichla steerii
,紋翼畫眉,"TABA,ACMO",紋翼畫眉,Taiwan Barwing,Actinodura morrisoniana
,戴菊鳥,"GOLD,RERE",戴菊鳥,Goldcrest,Regulus regulus
,火冠戴菊鳥,"FLAM,REGO",火冠戴菊鳥,Flamecrest,Regulus goodfellowi
,茶腹鳾,"EUNU,SIEU",茶腹鳾,Eurasian Nuthatch,Sitta europaea
,鷦鷯,"EUWR,TRTR",鷦鷯,Eurasian Wren,Troglodytes troglodytes
,河烏,"BRDI,CIPA",河烏,Brown Dipper,Cinclus pallasii
,亞洲輝椋鳥,"AGST,APPA",輝椋鳥,Asian Glossy Starling,Aplonis panayensis
,九官鳥,"CHIM,CHMY,GRRE",九官鳥,Common Hill Myna,Gracula religiosa
,歐洲椋鳥,"EUST,COST,STVU",歐洲椋鳥,European Starling,Sturnus vulgaris
,粉紅椋鳥,"RCST,ROST,PARO",粉紅椋鳥,Rosy Starling,Pastor roseus
,北椋鳥,"DAST,PBST,AGST",北椋鳥,Daurian Starling,Agropsar sturninus
,小椋鳥,"CCST,AGPH",小椋鳥,Chestnut-cheeked Starling,Agropsar philippensis
X,北/小椋鳥,"DAST,PBST,CCST,AGPH,AGST",北/小椋鳥,Daurian/Chestnut-cheeked Starling,Agropsar sturninus/philippensis
,黑領椋鳥,"BCST,GRNI",黑領椋鳥,Black-collared Starling,Gracupica nigricollis
,灰背椋鳥,"WSST,STSI",灰背椋鳥,White-shouldered Starling,Sturnia sinensis
,灰頭椋鳥,"CTST,STMA",灰頭椋鳥,Chestnut-tailed Starling,Sturnia malabarica
,栗尾椋鳥,"CTST,STMA",灰頭椋鳥,Chestnut-tailed Starling,Sturnia malabarica
,絲光椋鳥,"RBST,SPSE",絲光椋鳥,Red-billed Starling,Spodiopsar sericeus
,灰椋鳥,"WCST,SPCI",灰椋鳥,White-cheeked Starling,Spodiopsar cineraceus
,家八哥,"COMY,PIHA,ACTR",家八哥,Common Myna,Acridotheres tristis
,葡萄胸椋鳥,"VBST,ACBU",葡萄胸椋鳥,Vinous-breasted Starling,Acridotheres burmannicus
,林八哥,"JUMY,ACFU",林八哥,Jungle Myna,Acridotheres fuscus
,白尾八哥,"JAMY,ACJA",白尾八哥,Javan Myna,Acridotheres javanicus
,大八哥(叢八哥),"GRMY,ACGR",大八哥(叢八哥),Great Myna,Acridotheres grandis
,八哥(冠八哥),"CRMY,ACCR",八哥(冠八哥),Crested Myna,Acridotheres cristatellus
,八哥屬(XX八哥),,八哥屬,Acridotheres sp.,Acridotheres sp.
,椋鳥科(XX椋鳥),,椋鳥科,myna/starling sp.,Sturnidae sp.
,白氏地鶇,"WHTH,ZOAU",白氏地鶇,White's Thrush,Zoothera aurea
,虎斑地鶇,"SCTH,ZODA",虎斑地鶇,Scaly Thrush,Zoothera dauma
,虎斑地鶇(小虎鶇),"SCTH,ZODA",虎斑地鶇(指名亞種/小虎鶇),Scaly Thrush (Scaly),Zoothera dauma dauma
,白氏/虎斑地鶇(虎鶇),"WHTH,SCTH,ZODA,ZOAU",白氏/虎斑地鶇,White's/Scaly Thrush,Zoothera aurea/dauma
,白眉地鶇,"SITH,GESI",白眉地鶇,Siberian Thrush,Geokichla sibirica
,橙頭地鶇,"OHTH,GECI",橙頭地鶇,Orange-headed Thrush,Geokichla citrina
,寶興歌鶇,"CHTH,OTMU",寶興歌鶇,Chinese Thrush,Otocichla mupinensis
,中國黑鶇,"CHBL,TUMA",中國黑鶇,Chinese Blackbird,Turdus mandarinus
,白頭鶇,"ISTH,TATH,TUNI",白頭鶇,Taiwan Thrush,Turdus niveiceps
,烏灰鶇,"JATH,TUCA",烏灰鶇,Japanese Thrush,Turdus cardis
,灰背鶇,"GBTH,TUHO",灰背鶇,Gray-backed Thrush,Turdus hortulorum
,白眉鶇,"EYTH,TUOB",白眉鶇,Eyebrowed Thrush,Turdus obscurus
,赤腹鶇,"BHTH,TUCH",赤腹鶇,Brown-headed Thrush,Turdus chrysolaus
,白腹鶇,"PATH,TUPA",白腹鶇,Pale Thrush,Turdus pallidus
,黑頸鶇,"BTTH,TUAT",黑頸鶇,Black-throated Thrush,Turdus atrogularis
,赤頸鶇,"RTTH,TURU",赤頸鶇,Red-throated Thrush,Turdus ruficollis
,斑點鶇,"DUTH,TUEU",斑點鶇,Dusky Thrush,Turdus eunomus
,紅尾鶇,"NATH,TUNA",紅尾鶇,Naumann's Thrush,Turdus naumanni
X,斑點/紅尾鶇,"DUTH,NATH,TUEU,TUNA",斑點/紅尾鶇,Dusky/Naumann's Thrush,Turdus eunomus/naumanni
,鶇屬(XX鶇),,鶇屬,Turdus sp.,Turdus sp.
,鶇科(XX鶇),,鶇科,thrush sp.,Turdidae sp.
,灰斑鶲,"GSFL,MUGR",灰斑鶲,Gray-streaked Flycatcher,Muscicapa griseisticta
,烏鶲,"DSFL,MUSI",烏鶲,Dark-sided Flycatcher,Muscicapa sibirica
X,灰斑鶲/烏鶲,"DSFL,GSFL,MUSI,MUGR",灰斑鶲/烏鶲,Gray-streaked/Dark-sided Flycatcher,Muscicapa griseisticta/sibirica
,紅尾鶲,"FEFL,MUFE",紅尾鶲,Ferruginous Flycatcher,Muscicapa ferruginea
,寬嘴鶲,"ABFL,MUDA",寬嘴鶲,Asian Brown Flycatcher,Muscicapa dauurica
,褐胸鶲,"BBFL,MUMU",褐胸鶲,Brown-breasted Flycatcher,Muscicapa muttui
,斑鶲,"SPFL,MUST",斑鶲,Spotted Flycatcher,Muscicapa striata
,鶲屬(XX鶲),,鶲屬,Muscicapa sp.,Muscicapa sp.
,鵲鴝,"ORMR,OMRO,COSA",鵲鴝,Oriental Magpie-Robin,Copsychus saularis
,白腰鵲鴝,"WRSH,WRCS,COMA",白腰鵲鴝,White-rumped Shama,Copsychus malabaricus
,海南藍仙鶲,"HBFL,CYHA",海南藍仙鶲,Hainan Blue Flycatcher,Cyornis hainanus
,白喉林鶲,"BCJF,CYBR",白喉林鶲,Brown-chested Jungle-Flycatcher,Cyornis brunneatus
,棕腹大仙鶲,"FUNI,NIDA",棕腹大仙鶲,Fujian Niltava,Niltava davidi
,棕腹仙鶲,"RBNI,NISU",棕腹仙鶲,Rufous-bellied Niltava,Niltava sundara
,黃腹琉璃,"VINI,NIVI",黃腹琉璃,Vivid Niltava,Niltava vivida
,仙鶲屬,,仙鶲屬,niltava sp.,Niltava sp.
,白腹琉璃,"BAWF,CYCY",白腹琉璃,Blue-and-white Flycatcher,Cyanoptila cyanomelana
,琉璃藍鶲,"ZAFL,CYCU",琉璃藍鶲,Zappey's Flycatcher,Cyanoptila cumatilis
X,白腹琉璃/琉璃藍鶲,"BAWF,ZAFL,CYCU,CYCY",白腹琉璃/琉璃藍鶲,Blue-and-white/Zappey's Flycatcher,Cyanoptila cyanomelana/cumatilis
,銅藍鶲,"VEFL,EUTH",銅藍鶲,Verditer Flycatcher,Eumyias thalassinus
,白喉短翅鶇,"LESH,BRLE",白喉短翅鶇,Lesser Shortwing,Brachypteryx leucophris
,小翼鶇,"WBSH,TASH,BRGO",小翼鶇,Taiwan Shortwing,Brachypteryx goodfellowi
,紅尾歌鴝,"RTRO,LASI",紅尾歌鴝,Rufous-tailed Robin,Larvivora sibilans
,日本歌鴝,"JARO,LAAK",日本歌鴝,Japanese Robin,Larvivora akahige
,琉球歌鴝,"RYRO,LAKO",琉球歌鴝,Ryukyu Robin,Larvivora komadori
,藍歌鴝,"SBRO,LACY",藍歌鴝,Siberian Blue Robin,Larvivora cyane
,藍喉鴝,"BLUE,LUSV",藍喉鴝,Bluethroat,Luscinia svecica
,台灣紫嘯鶇,"TWTH,TAWT,MYIN",台灣紫嘯鶇,Taiwan Whistling-Thrush,Myophonus insularis
,白斑紫嘯鶇,"BLWT,BWTH,MYCA",白斑紫嘯鶇,Blue Whistling-Thrush,Myophonus caeruleus
X,白斑紫嘯鶇(黑嘴),"BLWT,BWTH,MYCA",白斑紫嘯鶇(黑嘴),Blue Whistling-Thrush (Black-billed),Myophonus caeruleus caeruleus
,紫嘯鶇屬,,紫嘯鶇屬,whistling-thrush sp.,Myophonus sp.
,小剪尾,"LIFO,ENSC",小剪尾,Little Forktail,Enicurus scouleri
,野鴝,"SIRU,CACA",野鴝,Siberian Rubythroat,Calliope calliope
,白尾鴝,"WTRO,MYLE",白尾鴝,White-tailed Robin,Myiomela leucura
,藍尾鴝,"RFBL,TACY",藍尾鴝,Red-flanked Bluetail,Tarsiger cyanurus
,白眉林鴝,"WBBR,TAIN",白眉林鴝,White-browed Bush-Robin,Tarsiger indicus
,栗背林鴝,"COBR,CBRO,TAJO",栗背林鴝,Collared Bush-Robin,Tarsiger johnstoniae
,白眉/栗背林鴝,"WBBR,CBRO,COBR,TAJO,TAIN",白眉/栗背林鴝,White-browed/Collared Bush-Robin,Tarsiger indicus/johnstoniae
,白眉鶲,"KOFL,YRFL,FIZA",白眉鶲,Yellow-rumped Flycatcher,Ficedula zanthopygia
,綠背姬鶲,"GBFL,FIEL",綠背姬鶲,Green-backed Flycatcher,Ficedula elisae
,黃眉黃鶲,"NAFL,FINA",黃眉黃鶲,Narcissus Flycatcher,Ficedula narcissina
X,白眉鶲/綠背姬鶲/黃眉黃鶲,,白眉鶲/綠背姬鶲/黃眉黃鶲,Yellow-rumped/Green-backed/Narcissus Flycatcher,Ficedula zanthopygia/elisae/narcissina
,白眉黃鶲,"MUFL,FIMU",白眉黃鶲,Mugimaki Flycatcher,Ficedula mugimaki
,銹胸藍姬鶲,"SBFL,FIER",銹胸藍姬鶲,Slaty-backed Flycatcher,Ficedula erithacus
,黃胸青鶲,"SBFL,FIHY",黃胸青鶲,Snowy-browed Flycatcher,Ficedula hyperythra
,橙胸姬鶲,"RGFL,FIST",橙胸姬鶲,Rufous-gorgeted Flycatcher,Ficedula strophiata
,紅喉鶲,"TAFL,FIAL",紅喉鶲,Taiga Flycatcher,Ficedula albicilla
,紅胸鶲,"RBFL,FIPA",紅胸鶲,Red-breasted Flycatcher,Ficedula parva
,紅喉/紅胸鶲,"RBFL,TAFL,FIPA,FIAL",紅喉/紅胸鶲,Taiga/Red-breasted Flycatcher,Ficedula albicilla/parva
,姬鶲屬,,姬鶲屬,Ficedula sp.,Ficedula sp.
,藍額紅尾鴝,"BFRE,PHFR",藍額紅尾鴝,Blue-fronted Redstart,Phoenicurus frontalis
,鉛色水鶇,"PLRE,PWRE,PHFU",鉛色水鶇,Plumbeous Redstart,Phoenicurus fuliginosus
,白頂溪鴝,"WCRE,PHLE",白頂溪鴝,White-capped Redstart,Phoenicurus leucocephalus
,赭紅尾鴝,"BLRE,PHOC",赭紅尾鴝,Black Redstart,Phoenicurus ochruros
,黃尾鴝,"DARE,PHAU",黃尾鴝,Daurian Redstart,Phoenicurus auroreus
,白喉磯鶇,"WTRT,MOGU",白喉磯鶇,White-throated Rock-Thrush,Monticola gularis
,藍磯鶇,"BLRT,BRTH,MOSO",藍磯鶇,Blue Rock-Thrush,Monticola solitarius
,藍磯鶇(藍腹),"BLRT,BRTH,MOSO",藍磯鶇(藍腹),Blue Rock-Thrush (pandoo),Monticola solitarius pandoo
X,藍磯鶇(栗腹),"BLRT,BRTH,MOSO",藍磯鶇(栗腹),Blue Rock-Thrush (philippensis),Monticola solitarius philippensis
,黑喉鴝,"SIST,SAMA",黑喉鴝,Siberian Stonechat,Saxicola maurus
,白斑黑石䳭,"PIBU,PBCH,PIST,SACA",白斑黑石䳭,Pied Bushchat,Saxicola caprata
,灰叢鴝,"GBCH,GRBU,SAFE",灰叢鴝,Gray Bushchat,Saxicola ferreus
,穗䳭,"NOWH,OEOE",穗䳭,Northern Wheatear,Oenanthe oenanthe
,沙䳭,"ISWH,OEIS",沙䳭,Isabelline Wheatear,Oenanthe isabellina
,漠䳭,"DEWH,OEDE",漠䳭,Desert Wheatear,Oenanthe deserti
,白頂䳭,"PIWH,OEPL",白頂䳭,Pied Wheatear,Oenanthe pleschanka
,䳭屬,,䳭屬,wheatear sp.,Oenanthe sp.
,鶲科,,鶲科,Muscicapid sp.,Muscicapidae sp.
,黃連雀,"BOWA,BOGA",黃連雀,Bohemian Waxwing,Bombycilla garrulus
,朱連雀,"JAWA,BOJA",朱連雀,Japanese Waxwing,Bombycilla japonica
,綠啄花,"PLFL,DIMI",綠啄花,Plain Flowerpecker,Dicaeum minullum
,紅胸啄花,"FBFL,DIIG",紅胸啄花,Fire-breasted Flowerpecker,Dicaeum ignipectus
,啄花屬(XX啄花),,啄花屬,Dicaeum sp.,Dicaeum sp.
,黃腹花蜜鳥,"OBSU,CIJU",黃腹花蜜鳥,Olive-backed Sunbird,Cinnyris jugularis
,藍喉太陽鳥,"MGSU,GOSU,AEGO",藍喉太陽鳥,Mrs. Gould's Sunbird,Aethopyga gouldiae
,叉尾太陽鳥,"FTSU,AECH",叉尾太陽鳥,Fork-tailed Sunbird,Aethopyga christinae
,黑頭織雀,"VIWE,PLCU",黑頭織雀,Village Weaver,Ploceus cucullatus
,橙頰梅花雀,"OCHW,OCWA,ESME",橙頰梅花雀,Orange-cheeked Waxbill,Estrilda melpoda
,橫斑梅花雀,"COMW,COWA,ESAS",橫斑梅花雀,Common Waxbill,Estrilda astrild
,紅梅花雀,"REAV,AMAM",紅梅花雀,Red Avadavat,Amandava amandava
,白喉文鳥,"INSI,EUMA",白喉文鳥,Indian Silverbill,Euodice malabarica
,白腰文鳥,"WRMU,LOST",白腰文鳥,White-rumped Munia,Lonchura striata
,斑文鳥,"SBMU,LOPU",斑文鳥,Scaly-breasted Munia,Lonchura punctulata
,黑頭文鳥,"CHMU,LOAT",黑頭文鳥,Chestnut Munia,Lonchura atricapilla
,白頭文鳥,"WHMU,LOMA",白頭文鳥,White-headed Munia,Lonchura maja
,爪哇雀,"JASP,LOOR",爪哇雀,Java Sparrow,Lonchura oryzivora
,文鳥屬(XX文鳥),,文鳥屬,Lonchura sp.,Lonchura sp.
,針尾維達雀,"PTWH,VIMA",針尾維達雀,Pin-tailed Whydah,Vidua macroura
,岩鷚,"ALAC,PRCO",岩鷚,Alpine Accentor,Prunella collaris
